Sno,Questions,Strongly Disagree,Disagree,Neutral,Agree,Strongly Agree,
1,"After finishing a task I review it in my mind, double-checking the quality of my results.",2,8,10,30,50,
2,I like to do things I am not supposed to and 'break' the rules.,70,20,5,3,2,
3,It takes me some time before I actually get down to work.,17,14,32,19,18,
4,I always keep a lid on my feelings.,38,12,13,23,14,
5,"I am the kind of person who sees the big picture, focusing less on the small details",29,41,15,10,5,
6,I tend to have mood swings more often than others around me.,68,15,12,4,1,
7,I am good at making sure that small details are not overlooked.,8,12,20,21,39,
8,I would have to be very sick to miss a day of work.,2,8,20,22,48,
9,I don't hesitate when making decisions.,0,3,7,33,57,
10,Once I make a decision I feel fairly confident that it is a good one.,10,12,17,27,34,
11,It is better to be polite and rule-obedient rather than carefree.,5,3,4,22,66,
12,I must admit I prefer to be able to do what I want rather than act within accepted rules and regulations.,19,8,2,32,39,
13,I work at a pace that allows me to finish things on time.,3,13,12,31,41,
14,I am a rule-obedient person.,0,0,1,11,88,
15,I lose my temper quickly but regain composure quickly too.,34,25,17,10,14,
16,At school I would always go over my exam papers before handing them in.,1,13,4,26,56,
,,,,,,,
,,,,,,,
,,,,,,,
